,ResponseId,Condition,influencer_video,susceptfriend_score,vapenext6months_score,vapecurios_score,suscept_total,Sex,Ethnicity,Age,white,asian,black,multi,other,infl_expos,suscept_pretest,video_id,influencer,credibility_median,video_number,credibility_median_rescale,sm_freq_use,sub_30dayuse,cigcan_30dayuse,credibility_median_binary
32,R_12obhNJnIhOVhFE,Old Treat,vapefriend_anna,2,3,2,1,Female,No,17,0,1,0,1,0,0,1,video2_cred_anna,cred_anna,7,2,-0.676588053,1,0,0,0
33,R_12obhNJnIhOVhFE,Old Treat,vapefriend_cham,4,4,4,0,Female,No,17,0,1,0,1,0,0,1,video3_cred_cham,cred_cham,100,3,3.337710738,1,0,0,1
34,R_12obhNJnIhOVhFE,Old Treat,vapefriend_fab,2,4,1,1,Female,No,17,0,1,0,1,0,0,1,video4_cred_fab,cred_fab,30,4,0.316195519,1,0,0,1
35,R_12obhNJnIhOVhFE,Old Treat,vapefriend_mae,3,4,3,1,Female,No,17,0,1,0,1,0,0,1,video5_cred_mae,cred_mae,55,5,1.395308097,1,0,0,1
36,R_12obhNJnIhOVhFE,Old Treat,vapefriend_zanx,2,4,1,1,Female,No,17,0,1,0,1,0,0,1,video6_cred_zanx,cred_zanx,75,6,2.25859816,1,0,0,1
37,R_15Hm59U14eJ4REm,Old Control,vapefriend_aby,4,4,4,0,Female,Yes,15,1,0,0,0,0,1,1,video1_cred_aby,cred_aby,12,1,-0.460765538,1,0,0,0
38,R_15Hm59U14eJ4REm,Old Control,vapefriend_anna,4,4,4,0,Female,Yes,15,1,0,0,0,0,1,1,video2_cred_anna,cred_anna,42,2,0.834169557,1,0,0,1
39,R_15Hm59U14eJ4REm,Old Control,vapefriend_cham,4,4,4,0,Female,Yes,15,1,0,0,0,0,1,1,video3_cred_cham,cred_cham,28,3,0.229866513,1,0,0,1
40,R_15Hm59U14eJ4REm,Old Control,vapefriend_fab,3,4,4,1,Female,Yes,15,1,0,0,0,0,1,1,video4_cred_fab,cred_fab,46,4,1.006827569,1,0,0,1
41,R_15Hm59U14eJ4REm,Old Control,vapefriend_mae,4,4,4,0,Female,Yes,15,1,0,0,0,0,1,1,video5_cred_mae,cred_mae,14,5,-0.374436531,1,0,0,1
42,R_15Hm59U14eJ4REm,Old Control,vapefriend_zanx,4,4,4,0,Female,Yes,15,1,0,0,0,0,1,1,video6_cred_zanx,cred_zanx,41,6,0.791005053,1,0,0,1
43,R_15hSSpnglqS2tQR,Young Treat,vapefriend_aby,4,4,4,0,Male,NA,17,1,0,0,0,0,1,0,video1_cred_aby,cred_aby,0,1,-0.978739575,3,0,0,0
44,R_15hSSpnglqS2tQR,Young Treat,vapefriend_anna,4,4,4,0,Male,NA,17,1,0,0,0,0,1,0,video2_cred_anna,cred_anna,0,2,-0.978739575,3,0,0,0
45,R_15hSSpnglqS2tQR,Young Treat,vapefriend_cham,4,4,4,0,Male,NA,17,1,0,0,0,0,1,0,video3_cred_cham,cred_cham,0,3,-0.978739575,3,0,0,0
46,R_15hSSpnglqS2tQR,Young Treat,vapefriend_fab,4,4,4,0,Male,NA,17,1,0,0,0,0,1,0,video4_cred_fab,cred_fab,0,4,-0.978739575,3,0,0,0
47,R_15hSSpnglqS2tQR,Young Treat,vapefriend_mae,4,4,4,0,Male,NA,17,1,0,0,0,0,1,0,video5_cred_mae,cred_mae,0,5,-0.978739575,3,0,0,0
48,R_15hSSpnglqS2tQR,Young Treat,vapefriend_zanx,4,4,4,0,Male,NA,17,1,0,0,0,0,1,0,video6_cred_zanx,cred_zanx,0,6,-0.978739575,3,0,0,0
49,R_164Jvs7pYfpjW0D,Young Control,vapefriend_aby,3,4,3,1,Male,No,16,0,1,0,0,0,0,1,video1_cred_aby,cred_aby,8,1,-0.63342355,2,0,0,0
50,R_164Jvs7pYfpjW0D,Young Control,vapefriend_anna,3,4,3,1,Male,No,16,0,1,0,0,0,0,1,video2_cred_anna,cred_anna,3,2,-0.849246066,2,0,0,0
51,R_164Jvs7pYfpjW0D,Young Control,vapefriend_cham,3,4,3,1,Male,No,16,0,1,0,0,0,0,1,video3_cred_cham,cred_cham,0,3,-0.978739575,2,0,0,0
52,R_164Jvs7pYfpjW0D,Young Control,vapefriend_fab,3,4,3,1,Male,No,16,0,1,0,0,0,0,1,video4_cred_fab,cred_fab,12,4,-0.460765538,2,0,0,0
53,R_164Jvs7pYfpjW0D,Young Control,vapefriend_mae,3,4,4,1,Male,No,16,0,1,0,0,0,0,1,video5_cred_mae,cred_mae,0,5,-0.978739575,2,0,0,0
54,R_164Jvs7pYfpjW0D,Young Control,vapefriend_zanx,2,4,2,1,Male,No,16,0,1,0,0,0,0,1,video6_cred_zanx,cred_zanx,12,6,-0.460765538,2,0,0,0
55,R_168XlyYj0t89cYp,Young Treat,vapefriend_aby,4,4,4,0,Female,Yes,16,0,0,0,0,1,0,0,video1_cred_aby,cred_aby,50,1,1.179485582,1,0,0,1
56,R_168XlyYj0t89cYp,Young Treat,vapefriend_anna,4,4,4,0,Female,Yes,16,0,0,0,0,1,0,0,video2_cred_anna,cred_anna,39,2,0.704676047,1,0,0,1
57,R_168XlyYj0t89cYp,Young Treat,vapefriend_cham,4,4,4,0,Female,Yes,16,0,0,0,0,1,0,0,video3_cred_cham,cred_cham,46,3,1.006827569,1,0,0,1
58,R_168XlyYj0t89cYp,Young Treat,vapefriend_fab,4,4,4,0,Female,Yes,16,0,0,0,0,1,0,0,video4_cred_fab,cred_fab,42,4,0.834169557,1,0,0,1
