,ResponseId,Condition,influencer_video,harm_score,harm_score_factor,Condition,Sex,Ethnicity,Age,white,asian,black,multi,other,infl_expos,harmvape_pretest,video_id,influencer,credibility_median,video_number,credibility_median_rescale,sm_freq_use,sub_30dayuse,harm_pretest_binary,credibility_median_binary
33,R_11sqWiv55aEMnY9,Young Control,harm_cham,2,2,Young Control,Female,No,14,1,0,0,0,0,0,2,video3_cred_cham,cred_cham,30,3,-0.059559855,1,0,0,1
34,R_11sqWiv55aEMnY9,Young Control,harm_fab,1,1,Young Control,Female,No,14,1,0,0,0,0,0,2,video4_cred_fab,cred_fab,0,4,-1.114512449,1,0,0,0
35,R_11sqWiv55aEMnY9,Young Control,harm_mae,2,2,Young Control,Female,No,14,1,0,0,0,0,0,2,video5_cred_mae,cred_mae,0,5,-1.114512449,1,0,0,0
36,R_11sqWiv55aEMnY9,Young Control,harm_zanx,1,1,Young Control,Female,No,14,1,0,0,0,0,0,2,video6_cred_zanx,cred_zanx,0,6,-1.114512449,1,0,0,0
37,R_12JY551bWcJUOoZ,Young Control,harm_aby,1,1,Young Control,Female,No,16,0,1,0,0,0,0,1,video1_cred_aby,cred_aby,38,1,0.221760836,2,0,0,1
38,R_12JY551bWcJUOoZ,Young Control,harm_anna,1,1,Young Control,Female,No,16,0,1,0,0,0,0,1,video2_cred_anna,cred_anna,62,2,1.065722911,2,0,0,1
39,R_12JY551bWcJUOoZ,Young Control,harm_cham,1,1,Young Control,Female,No,16,0,1,0,0,0,0,1,video3_cred_cham,cred_cham,60,3,0.995392738,2,0,0,1
40,R_12JY551bWcJUOoZ,Young Control,harm_fab,2,2,Young Control,Female,No,16,0,1,0,0,0,0,1,video4_cred_fab,cred_fab,38,4,0.221760836,2,0,0,1
41,R_12JY551bWcJUOoZ,Young Control,harm_mae,1,1,Young Control,Female,No,16,0,1,0,0,0,0,1,video5_cred_mae,cred_mae,25,5,-0.235385288,2,0,0,1
42,R_12JY551bWcJUOoZ,Young Control,harm_zanx,1,1,Young Control,Female,No,16,0,1,0,0,0,0,1,video6_cred_zanx,cred_zanx,0,6,-1.114512449,2,0,0,0
43,R_12Phd55lrFTOKoM,Young Treat,harm_aby,4,4,Young Treat,Male,Yes,15,0,0,1,0,0,1,3,video1_cred_aby,cred_aby,82,1,1.76902464,1,1,1,1
44,R_12Phd55lrFTOKoM,Young Treat,harm_anna,4,4,Young Treat,Male,Yes,15,0,0,1,0,0,1,3,video2_cred_anna,cred_anna,77,2,1.593199208,1,1,1,1
45,R_12Phd55lrFTOKoM,Young Treat,harm_cham,4,4,Young Treat,Male,Yes,15,0,0,1,0,0,1,3,video3_cred_cham,cred_cham,81,3,1.733859554,1,1,1,1
46,R_12Phd55lrFTOKoM,Young Treat,harm_fab,4,4,Young Treat,Male,Yes,15,0,0,1,0,0,1,3,video4_cred_fab,cred_fab,79,4,1.663529381,1,1,1,1
47,R_12Phd55lrFTOKoM,Young Treat,harm_mae,4,4,Young Treat,Male,Yes,15,0,0,1,0,0,1,3,video5_cred_mae,cred_mae,74,5,1.487703949,1,1,1,1
48,R_12Phd55lrFTOKoM,Young Treat,harm_zanx,4,4,Young Treat,Male,Yes,15,0,0,1,0,0,1,3,video6_cred_zanx,cred_zanx,77,6,1.593199208,1,1,1,1
49,R_12obhNJnIhOVhFE,Old Treat,harm_aby,5,5,Old Treat,Female,No,17,0,1,0,1,0,0,2,video1_cred_aby,cred_aby,52,1,0.714072047,1,0,0,1
50,R_12obhNJnIhOVhFE,Old Treat,harm_anna,5,5,Old Treat,Female,No,17,0,1,0,1,0,0,2,video2_cred_anna,cred_anna,7,2,-0.868356844,1,0,0,0
51,R_12obhNJnIhOVhFE,Old Treat,harm_cham,2,2,Old Treat,Female,No,17,0,1,0,1,0,0,2,video3_cred_cham,cred_cham,100,3,2.401996197,1,0,0,1
52,R_12obhNJnIhOVhFE,Old Treat,harm_fab,5,5,Old Treat,Female,No,17,0,1,0,1,0,0,2,video4_cred_fab,cred_fab,30,4,-0.059559855,1,0,0,1
53,R_12obhNJnIhOVhFE,Old Treat,harm_mae,5,5,Old Treat,Female,No,17,0,1,0,1,0,0,2,video5_cred_mae,cred_mae,55,5,0.819567306,1,0,0,1
54,R_12obhNJnIhOVhFE,Old Treat,harm_zanx,5,5,Old Treat,Female,No,17,0,1,0,1,0,0,2,video6_cred_zanx,cred_zanx,75,6,1.522869035,1,0,0,1
55,R_12z7P7EazBAxlGy,Old Control,harm_aby,3,3,Old Control,Male,No,16,1,0,0,0,0,1,3,video1_cred_aby,cred_aby,73,1,1.452538862,2,1,1,1
56,R_12z7P7EazBAxlGy,Old Control,harm_anna,3,3,Old Control,Male,No,16,1,0,0,0,0,1,3,video2_cred_anna,cred_anna,69,2,1.311878516,2,1,1,1
