,ResponseId,Condition,influencer_video,vape_cool,vape_attr,video_id,influencer,credibility_median,video_number,credibility_median_rescale,Sex,Ethnicity,Age,white,asian,black,multi,other,infl_expos,vape_appeal,vape_appeal_sum,vape_appeal_pretest_sum,vape_appeal_pretest_3cat,vape_appeal_t3,Ethnicity,Sex,sm_freq_use,sub_30dayuse,credibility_median_binary
30,R_11sfbtYCPh2ALG9,Young Control,zanx,0,0,video6_cred_zanx,cred_zanx,2,6,-1.044182276,Male,No,3,1,0,0,0,0,0,0,0,0,Low,Low,No,Male,3,0,0
31,R_11sqWiv55aEMnY9,Young Control,aby,0,0,video1_cred_aby,cred_aby,0,1,-1.114512449,Female,No,1,1,0,0,0,0,0,0,0,1,Low,Low,No,Female,1,0,0
32,R_11sqWiv55aEMnY9,Young Control,anna,0,1,video2_cred_anna,cred_anna,0,2,-1.114512449,Female,No,1,1,0,0,0,0,0,0.5,1,1,Low,Moderate,No,Female,1,0,0
33,R_11sqWiv55aEMnY9,Young Control,cham,1,0,video3_cred_cham,cred_cham,30,3,-0.059559855,Female,No,1,1,0,0,0,0,0,0.5,1,1,Low,Moderate,No,Female,1,0,1
34,R_11sqWiv55aEMnY9,Young Control,fab,0,0,video4_cred_fab,cred_fab,0,4,-1.114512449,Female,No,1,1,0,0,0,0,0,0,0,1,Low,Low,No,Female,1,0,0
35,R_11sqWiv55aEMnY9,Young Control,mae,1,1,video5_cred_mae,cred_mae,0,5,-1.114512449,Female,No,1,1,0,0,0,0,0,1,2,1,Low,Moderate,No,Female,1,0,0
36,R_11sqWiv55aEMnY9,Young Control,zanx,0,0,video6_cred_zanx,cred_zanx,0,6,-1.114512449,Female,No,1,1,0,0,0,0,0,0,0,1,Low,Low,No,Female,1,0,0
37,R_12JY551bWcJUOoZ,Young Control,aby,0,2,video1_cred_aby,cred_aby,38,1,0.221760836,Female,No,3,0,1,0,0,0,0,1,2,0,Low,Moderate,No,Female,2,0,1
38,R_12JY551bWcJUOoZ,Young Control,anna,3,2,video2_cred_anna,cred_anna,62,2,1.065722911,Female,No,3,0,1,0,0,0,0,2.5,5,0,Low,High,No,Female,2,0,1
39,R_12JY551bWcJUOoZ,Young Control,cham,2,2,video3_cred_cham,cred_cham,60,3,0.995392738,Female,No,3,0,1,0,0,0,0,2,4,0,Low,High,No,Female,2,0,1
